,title,artist,date,description,text,tags,group,Dirigido a,Ubicación,Duración,Precio,event,category,url,image
95,Especial ARCOmadrid 2023,No definido,23 feb 2023,"Fiesta El Mediterráneo: Un Mar Redondo, ARCOmadrid 2023 con la proyección de Launching Ceremony de Marina Gioti y Dj Set de Bill Kouligas comisariado por Movement Radio + Presentación de catálogos Fantástico Interior y Generación 2023.","18.30 – 20.00 h. Presentación de los catálogos Fantástico interior y Generación 2023, en la Cafetería.
Con la presencia de los comisarios: Rafa Barber Cortell e Ignacio Cabrero, respectivamente, y Lucía Casani, directora de La Casa Encendida.
20.00 – 22.30 h Movement Radio y La Casa Encendida presentan: Mediterranean Futures. Una contribución al programa público de El Mediterráneo: Un Mar Redondo / ARCOmadrid 2023.
El Mediterráneo: Un Mar Redondo es el tema central de ARCOmadrid 2023. La sección, comisariada por Marina Fokidis, con la asesoría de Bouchra Khalili, Hila Peleg y Pedro G. Romero, reúne a diecinueve artistas, con sus galerías, de todo el Mediterráneo, en un espacio especialmente diseñado por Andrés Jacques Office for Political Innovation, así como un gran número de colectivos de artistas, cineastas, flamencos para habitar ARCO de diversas formas creativas y discursivas.
Mediterranean Futures es una serie de eventos online y físicos que se centran en el Mediterráneo, buscando conexiones geográficas y líneas temporales alternativas a través de su cultura, sus ideas y su gente. Conceptualizar el Mediterráneo como un mar de corrientes culturales e históricas superpuestas que superan las limitaciones inmediatas de las fronteras y las identidades fijas e inflexibles.
20.30 h - Launching Ceremony, de Marina Gioti. Grecia, 2021. 17 min.",[''],Not in a group,,,4 horas,,No details,"['CINE', 'CONCIERTOS', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/especial-arcomadrid-2023,https://www.lacasaencendida.es/storage/10771/responsive-images/14422-609f-especial_arcomadrid-2023_3_v2_nt___detail_1600_900.jpg
96,La reconfiguración del orden internacional,Jesús Núñez,21 feb 2023,"Jesús Núñez, codirector del IECAH, y Aurea Moltó, directora de la revista Política Exterior, analizan cómo se está reconfigurando el nuevo orden geoestratégico internacional, los actores que lo conforman y los equilibrios de poder que hay en juego. Debatimos sobre quién es la comunidad internacional y la visión occidental colonial que impera sobre este concepto.","Como ya ha ocurrido en el pasado, estamos siento testigos de importantes cambios en el tablero de juego internacional. Los actores que tradicionalmente han tenido la hegemonía del poder están vislumbrando cómo algunos cambios se están produciendo y cómo potencias revisionistas, entre las que destacan Rusia, China y Turquía, presionan para propiciar cambios en un sistema para cuya configuración no fueron invitadas a participar. Todo ello en un contexto en que las tradicionales instituciones internacionales no están siendo capaces de cumplir con su misión.
Impartido por: Jesús A. Núñez Villaverde, Codirector IECAH . Experto en relaciones internacionales, seguridad internacional, construcción de la paz y prevención de conflictos violentos y mundo árabe-musulmán. Es Economista por la Universidad Autónoma de Madrid y militar retirado. También es profesor de Relaciones Internacionales en la Universidad Pontificia de Comillas, así como miembro del International Institute for Strategic Studies y vocal del Comité español de la UNRWA.Modera: Aurea Moltó, directora de la revista Política Exterior.
Organizado por: La Casa Encendida y el IECAH (Instituto de Estudios sobre conflictos y Acción Humanitaria).",['#Contextos internacionales'],"Vuelta al mundo en veinte años: derechos, paz, desarrollo, seguridad",Público general,Auditorio,1 hora 30 minutos,,,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/la-reconfiguracion-del-orden-internacional-con-jesus-nunez,https://www.lacasaencendida.es/storage/10885/responsive-images/la-reconfiguracion-del-orden-internacional-con-jesus-nunez___detail_1200_1200.jpg
97,'Oceánica',Yolanda González,21 feb 2023,"La primera sesión del año del Ecoclub de lectura trae Oceánica, una novela que nos interroga sobre nuestra responsabilidad en la catástrofe medioambiental en la que estamos inmersos. Yolanda González nos acompaña en el debate sobre una sociedad atrapada en las derivas de un sueño de grandeza que nos está lanzado a toda velocidad contra el muro de los límites biofísicos del planeta.","Son varios los autores que, de manera central en sus obras, abordan cuestiones ambientales o relacionadas con la naturaleza. Un ejemplo de ello es Oceánica (Editorial De Conatus), de la escritora española Yolanda González.
Una ballena aparece varada en la playa de Fuenterrabía una mañana de agosto de 2019, en vísperas de la Cumbre del G7 en Biarritz. Oceánica parte de la convulsión presente y se remonta hacia el origen de una cadena de muerte, un siglo XVI que marca el inicio de la voraz carrera hacia la abundancia. Más allá del thriller ecológico y la ficción histórica, la novela recoge las voces del mar, humanas y no humanas, enfrentándonos a las contradicciones éticas de una sociedad atrapada en las derivas del viejo sueño de grandeza.
Tras unas breves introducciones a cargo de Ignacio Santos, coordinador del Ecoclub de lectura, y de la autora, Yolanda González, se dará paso a una conversación moderada.
Se recomienda leer la novela antes de la sesión. La obra está publicada en papel y formato electrónico. Varias bibliotecas públicas de la ciudad de Madrid cuentan con ejemplares.
Organizado por: Ecoclub de lectura.
*Como las plazas son limitadas, se ruega a las personas apuntadas que, si no van a poder participar finalmente, cancelen su inscripción para dar paso a la lista de espera.",[''],Ecoclub de lectura 2023,,,2 horas,,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/oceanica-yolanda-gonzalez,https://www.lacasaencendida.es/storage/10848/responsive-images/14338-609f-oceanica_yolanda_gonzalez_nt___detail_1600_900.jpg
98,'Mamá Muu vuelve a casa',Christian Ryltenius,18 feb 2023,"Mamá Muu tiene un amigo fiel con quien comparte sus aventuras, Cuervo. A pesar de que no tienen muchas cosas en común comparten una bonita amistad que se pondrá a prueba con la llegada de Cigüeña, un ave migratoria que despertará admiración y recelo en este par.","El día en que una cigüeña viajera aparece en la granja, Mamá Muu se pregunta qué significa realmente la palabra hogar. ¿Cómo puede estar segura que el prado y la granja donde vive son realmente su casa? ¿Y si hubiera un sitio mejor para vivir en alguna otra parte de este mundo tan grande? Al Cuervo le cuesta demostrar a su gran amiga que no siempre se vive mejor en otros lares.
Mamá Muu vuelve a casa es un musical basado en los libros y canciones sobre Mamma Moo and the Crow creados por Jujja y Tomas Wieslander con ilustraciones de Sven Nordqvist.
Christian Ryltenius inició su carrera profesional en el mundo de la animación con la película sueca Viaje a Melonia (1989). Desde entonces ha trabajado en Alemania, en Inglaterra y en Asia. En 2004 fundó la productora de animación sueca Sluggerfilm y dirigió la trilogía de Bamse (2011-2018), la serie de largometrajes de animación más exitosa de la industria cinematográfica sueca. En 2020 estrenó Pelle Svanslös. Además, también trabajó como director de animación en Metropia (2009), de Tarik Saleh.",[''],En Familia. Invierno 2023,,,1 hora,,No details,['CINE'],https://www.lacasaencendida.es/cine/mama-muu-vuelve-casa-christian-ryltenius,https://www.lacasaencendida.es/storage/10739/responsive-images/14369-609f-mama_muu_vuelve_casa_christian_ryltenius_nt___detail_1600_900.jpg
99,'Fumar provoca tos',Quentin Dupieux,17 feb - 18 feb 2023,"En una cartelera dominada por el cine de superheroes, Quentin Dupieux se atreve a reventar el género desde dentro. Presentada en Sitges y con estreno previsto para el próximo mes de junio, este mes de febrero se puede ver en La Casa Encendida.","Fumar provoca tos, de Quentin Dupieux. Francia, 2022. 80'
Tras un combate encarnizado, un grupo de superhéroes debe enfrentarse a una amenaza mayúscula: un retiro espiritual con el resto de sus compañeros de equipo. El director Carlos Vermut destaca que el trabajo reúne, en una sola película, elementos tan dispares e interesantes como los superhéroes japoneses de los ochenta y el humor absurdo. “Los espectadores que entren en el juego de Quentin Dupieux disfrutarán de una de las películas de superhéroes más originales, disparatadas de los últimos años”, asegura.
Sinopsis:
Después de una feroz lucha contra una tortuga demoníaca, cinco justicieros conocidos como Tabac Force reciben la orden de ir a un retiro espiritual para fortalecer la cohesión de su grupo que se está deteriorando. La estancia transcurre de maravilla hasta que Lézardin, emperador del mal, decide aniquilar el planeta Tierra...
Quentin Dupieux (Clamart, Francia, 1974) comenzó a filmar a los 12 años y, poco después, a componer y producir música electrónica bajo el exitoso pseudónimo de Mr. Oizo. Debutó en el cine en 2002 con el mediometraje Nonfilm. En 2006, filmó su primer largo, Steak, para el que compuso la música junto a SebastiAn, y Sébastien Tellier. Se convirtió en un imprescindible de los amantes del cine más libre al jugar con el metalenguaje en Rubber (2010) y con Réalité (2014) afianzó su nombre y ganó el premio de la crítica en Sitges. (2019) tuvo su estreno internacional en el festival de Cannes y (2020) en Venecia.",[''],Las favoritas de Carlos Vermut,,,,,No details,"['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/fumar-provoca-tos-quentin-dupieux,https://www.lacasaencendida.es/storage/10730/responsive-images/14355-609f-fumar_provoca_tos_2023_nt___detail_1600_844.jpg
100,Contaminantes presentes en las cadenas alimentarias,No definido,17 feb 2023,"¿Qué son los disruptores endocrinos? ¿Cómo actúan? ¿Por qué en los últimos tiempos oímos hablar tanto de ellos? ¿Hasta qué punto pueden afectar a nuestra salud? ¿Están haciendo las empresas, instituciones y gobiernos lo suficiente para evitar que sigamos estando expuestos a ellos? ¿Qué podemos hacer nosotros para evitarlos y proteger nuestra salud y la de nuestras familias?","El Dr. Nicolás Olea, catedrático de Radiología y Medicina Física de la Universidad de Granada, dirige un grupo multidisciplinar que estudia medioambiente, alimentación y salud, con especial atención a la relación entre disruptores endocrinos y cáncer, y es una de las mayores autoridades mundiales en la materia. En esta charla, Olea ofrece las pautas para identificar los contaminantes químicos, entender cómo actúan y sobre todo saber cómo evitarlos. Ayuda a desterrar los falsos mitos o las publicidades engañosas en torno a ellos. En clave de guía práctica nos proporciona útiles recomendaciones destinadas a eliminarlos de nuestro día a día. Un manifiesto contra los contaminantes químicos de las cadenas alimentarias que afectan a nuestra salud expuesto de una forma muy pedagógica y amigable.",[''],Una mirada hacia el futuro con visión agroecológica,,,2 horas,,No details,"['ONLINE', 'ENCUENTROS']",https://www.lacasaencendida.es/contenido-online-actividades/contaminantes-presentes-en-las-cadenas-alimentarias-2,https://www.lacasaencendida.es/storage/10769/responsive-images/14416-609f-contaminantes_presentes_cadenas_alimentarias_nt___detail_1600_900.jpg
101,Acento 2023,No definido,16 feb - 19 feb 2023,"Nueva edición de Acento, el programa vinculado a la convocatoria de Artistas en Residencia cuyo fin es apoyar la creación y la investigación centradas en el cuerpo desde lo performativo. Durante tres jornadas tiene lugar la apertura de los proyectos llevados a cabo en 2022, donde se genera un espacio de encuentro con los artistas de ediciones anteriores y los nuevos residentes de la edición 2023. Las jornadas también incluyen un programa para los artistas residentes.","El programa Artistas en Residencia, que se lleva a cabo desde el año 2005 en La Casa Encendida, quiere ser más amplio en 2023, cuando se celebran los 20 años de La Casa Encendida de la Fundación Montemadrid.
Acento 2023 se articula a través de una serie de encuentros donde se convoca a lxs artistas que han realizado su residencia a lo largo de todos estos años, se mostrarán los procesos de lxs residentes actuales y se recibirá a los residentes entrantes. Esta invitación se extiende también al público general con la idea de aunar diferentes públicos en torno a esta celebración de las artes performativas, que concebimos como un regalo. Un encuentro que nos reúna y produzca las condiciones de estar juntxs. Acento 2023 será un presente en presente.
PROGRAMA ABIERTO AL PÚBLICO (Entrada libre hasta completar aforo):
Jueves 16 de febrero
19 y 20:15 h. Nosferatu, de Sara Manubens en colaboración con Ves Liberta. Patio
El proyecto pone en relación el fenómeno vampírico expresionista con el cuerpo transfemenino y hormonado, actualizando las preguntas del film original en relación al deseo sexual, el terror al cuerpo, la cacería social y la reproducción del monstruo. Esta pieza es un ejercicio de re-apropiación de aquello que siempre fue nuestro, el género del terror, para una liberación queer.",[''],Not in a group,,,,,No details,['ESCÉNICAS'],https://www.lacasaencendida.es/escenicas/acento-2023,https://www.lacasaencendida.es/storage/10763/responsive-images/14401-609f-acento_2023_2_nt___detail_1600_900.jpg
102,Ladrillos que hablan. La arquitectura de La Casa Encendida,No definido,15 feb - 14 jun 2023,"Descubramos los entresijos de La Casa Encendida en un taller que despierta en los niños y niñas participantes el interés por la arquitectura, el entorno, la ciudad y el desarrollo sostenible. Recorreremos el edificio de La Casa Encendida mirando con ojos de arquitecta/o, para descubrir los secretos de su historia y su arquitectura neomudéjar.","Este taller escolar es una experiencia, un recorrido, un juego en el que los y las participantes disponen de una serie de herramientas gráficas (plantas, alzados y secciones) para conocer la historia del edificio de La Casa Encendida y analizar las huellas de su pasado como casa de empeños.
Encontraremos sus secretos mejor guardados en un recorrido por el edificio, con la búsqueda de elementos nuevos que normalmente pasan desapercibidos.
Exploraremos también las fachadas de ladrillo de esta arquitectura neomudéjar de principios del siglo XX, analizando sus geometrías y composiciones. Experimentaremos con diferentes combinaciones de aparejos de ladrillo, aprenderemos a colocar ladrillos a soga y a tizón. ¡Jugaremos a modificar y a transformar sus fachadas!
En este taller de arquitectura se trabajan varios aspectos del currículo escolar: las competencias básicas en ciencia y tecnología, la competencia matemática (se experimenta con las medidas y el concepto de escala) y la comunicación lingüística (el alumnado explica sus proyectos). El hecho de aprender a aprender se pone de manifiesto a través de la exploración y la experimentación directa donde los y las participantes también trabajan la autonomía, las tareas en equipo y la consecución de uno o varios retos.
Impartido por: Chiquitectos, un proyecto lúdico y educativo para despertar en los niños, niñas y jóvenes el interés por la arquitectura, el entorno, la ciudad y el desarrollo sostenible.",[''],Primaria,,,,,No details,['ESCOLARES'],https://www.lacasaencendida.es/escolares/ladrillos-hablan-arquitectura-casa-encendida,https://www.lacasaencendida.es/storage/6145/responsive-images/13899-609f-chiquitectos_nt___detail_1600_900.jpg
103,Prompt Corner,No definido,11 feb 2023,"En la jerga teatral, ‘prompt corner’ o ‘esquina de avisos’ es el lugar desde el que se dirige y se mantiene el desarrollo de la escena, desde donde se controla la actuación y se recuerdan frases en caso de olvido. Esta propuesta pone en movimiento el lenguaje, reuniendo propuestas que vinculan la poesía con el cabaret, el sonido, el teatro queer o la spoken word performance.","Prompt Corner presenta el trabajo de Geo Wyeth (con Muck Studies Dept.), que va a adaptar el proyecto que hace en ríos, fuentes y otros lugares con agua, al Patio de La Casa Encendida, Aurélien Potier y okcandice. Comparten un interés por las fuentes de lenguaje y los patrones de comportamiento que se mantienen escondidos, por aquello que se olvida y termina acumulando polvo en las esquinas y, sin embargo, es capaz de vertebrar y dominar comportamientos y emociones.
Las tres piezas que se presentan durante la tarde van construyendo un diálogo constante con el entorno (material, simbólico, histórico, económico, libidinal). Y lo hacen, inscribiéndose también en un linaje de experimentación poética que aborda ideas en torno a la pertenencia, la comunidad, la visibilidad, el amor o el duelo.
Comisariado por: Juf (Bea Ortega Botas y Leto Ybarra).
La actividad está comisariada y protagonizada por comisarias y artistas jóvenes. La creación joven es la temática en torno a la cual gira la programación del mes de febrero, con motivo del 20 aniversario de La Casa Encendida.
Programa:
Visitation, w/ N.O. Stars, por el Departamento de Muck Studies Dept.
En Visitation, con N.O. Stars, un agente de investigación municipal plagado de ansiedades retira capas del presente y del pasado, hablando desde un tiempo que está más allá de toda medida, desde el Fondo del Agua, que está siempre e inevitablemente en el aire. Situándose en una constelación itinerante de sucesos polvorientos, Muck Studies Dept. narra un momento de descubrimiento desde un contenedor de memoria vibrante en el lugar del Big Bang, proponiendo una reimaginación del valor, una que él ha sabido todo el tiempo pero que no había sentido hasta ahora. Una narración en primera persona de una fuente poco fiable.",[''],Not in a group,,,2 horas 30 minutos,,No details,"['ESCÉNICAS', 'ENCUENTROS']",https://www.lacasaencendida.es/escenicas/prompt-corner,https://www.lacasaencendida.es/storage/10757/responsive-images/14395-609f-prompt_corner_nt___detail_1600_900.jpg
104,"La belleza de la vida, varios autores",No definido,11 feb - 12 feb 2023,"Historias únicas de amor, crecimiento y retos vitales narradas con fantásticas técnicas de animación que van desde la acuarela, la pintura con tinta o el collage.","La belleza de la vida, varios autores. China, 2021. 83’
Prepárate para viajar al pasado y al presente de China a través de esta deliciosa obra coral compuesta por siete historias de animación con entrañables protagonistas, como una familia de conejos, un niño que hace los deberes en el restaurante de sus padres o una abuela y su nieto que viven en el campo. Es una película mágica y única que nos recuerda que siempre es mejor ver el buen lado de la vida.",[''],En Familia. Invierno 2023,,,,,No details,['CINE'],https://www.lacasaencendida.es/cine/belleza-vida-varios-autores,https://www.lacasaencendida.es/storage/10741/responsive-images/14370-609f-belleza_vida_varios_autores_2_nt___detail_1600_900.jpg
105,'Leonor Will Never Die',Martika Ramirez Escobar,10 feb - 11 feb 2023,"En este trabajo presentado en el festival de Sitges, la directora Martika Ramirez Escobar propone un divertido juego de ficciones y realidades con el cine de acción filipino de los 70 como telón de fondo.","Leonor Will Never Die, de Martika Ramirez Escobar. Filipinas, 2022. 101 min.
Carlos Vermut define este trabajo como ""las divertidas aventuras de una directora de cine jubilada que acaba entrando en una de sus películas cuando después de un accidente entra en un coma. Es, probablemente, el ejercicio cinematográfico más bonito y sensible de este año. Una carta de amor absoluta al cine y las personas que lo hacen posible de la mano de una de las directoras más sorprendentes del nuevo cine filipino”.
Sinopsis:
Leonor Reyes fue una figura importante en la industria cinematográfica filipina, pero ahora su familia lucha para pagar las facturas. Cuando lee un anuncio en busca de guiones, Leonor recupera un texto inacabado, pero un accidente la deja inconsciente y la transporta dentro de aquella película incompleta. Leonor puede vivir sus sueños más salvajes de primera mano... y descubrir el final perfecto para su historia.
Martika Ramirez Escobar es una cineasta y directora de fotografía radicada en Manila. La mayoría de sus obras son reflexiones sobre su relación con el cine. Después de graduarse con honores de la Universidad de Filipinas, su película de tesis compitió en el 19º Festival Internacional de Cine de Busan. Es alumna de Berlinale Talents Tokyo, Asian Film Academy, y recibió el Purin Pictures Film Fund.",[''],Las favoritas de Carlos Vermut,,,,,No details,['CINE'],https://www.lacasaencendida.es/cine/leonor-will-never-die-martika-ramirez-escobar,https://www.lacasaencendida.es/storage/10729/responsive-images/14353-609f-leonor_nt___detail_1600_900.jpg
106,Agroecología: una conspiración imprescindible,No definido,10 feb 2023,"Raul Aramendy nos habla en esta conferencia sobre la importancia de la educación y comunicación como herramientas para aprender y difundir maneras de vivir en armonía con la naturaleza. Para ello, nos acerca a su experiencia en la Multiversidad Popular de Misiones de Argentina en la formación de agroécologos.","Navegamos en medio de un océano de incertidumbres y nos apoyamos solamente en pequeños islotes de certezas. Es urgente crear espacios donde se priorice saber escuchar para que pueda caminar la palabra, saber aprender para que se pueda liberar el conocimiento, saber hacer para poder construir el mundo y saber pensar para poder soñar.
Es importante trabajar en el sentido de formar una visión integral, coherente y liberadora, donde se puedan encontrar el saber científico y los saberes espirituales, lo intelectual y lo emocional, lo racional y lo intuitivo. Para que tenga sentido humanístico nuestra propia humanidad necesitamos una nueva forma de conocer y de pensar, una forma multidimensional, multidisciplinaria, multiconsensual, multifacética, multicontinental, multicultural, necesariamente multi-verdad y multiversitaria.
Es así como surgió Multiversidad Popular de Misiones, del cual se creó un Instituto de Estudios Superiores, que se dedica a la formación de agroecólogos. En su pensamiento, “La Agroecología ha logrado constituir un corpus de conocimientos ya experimentados y probados, a efectos de ecologizar el mundo rural y la producción de alimentos, parte fundamental de la vida humana. Pero luego nos dimos cuenta de que debíamos hacer un esfuerzo para formar técnicos que se manejen en espacios urbanos. Cuando yo empecé la secundaria, la relación de gente en la ciudad y en el campo era 30/70. Hoy es al revés. Así que apuntamos a ecologizar la ciudad”. Aramendy señala que si él no tuviera una tremenda esperanza en que las cosas pueden cambiar para bien… no se dedicaría ni a la Educación ni a la Comunicación. Porque además, cree que no queda otra forma de hacerlo. Y considera que no tener esperanza es rendirse.",[''],Una mirada hacia el futuro con visión agroecológica,,,2 horas,,No details,"['ONLINE', 'ENCUENTROS']",https://www.lacasaencendida.es/contenido-online-actividades/agroecologia-conspiracion-imprescindible,https://www.lacasaencendida.es/storage/10764/responsive-images/14407-609f-agroecologia_conspiracion_imprescindible_nt___detail_1600_900.jpg
107,"Taller en torno a las exposiciones, 'Generación 2023'",No definido,7 feb - 14 abr 2023,"Vuelve el taller 'En torno a las exposiciones' con la intención de acercar el arte y su producción al público más joven, invitándoles a descubrir diferentes técnicas y procesos artísticos, así como fomentando su empatía y actitud crítica y abierta frente a lo desconocido.","La exposición 'Generación 2023' presenta las obras de ocho artistas jóvenes que nos hablan de sus preocupaciones actuales a través de la escultura, la videoinstalación, los videojuegos o el sonido. A partir de algunas de estas obras, crearemos nuestras propias piezas en un laboratorio del arte.
Partiendo de un ejercicio de pensamiento crítico con el entorno y reflexionando sobre el papel que cada uno jugamos en la creación de nuestra propia realidad, crearemos obras de diversos materiales, poniendo a disposición de los alumnos diferentes maneras de decir lo que les interesa. El taller terminará con una visita y presentación a la exposición generada por ellos mismos.
Plazas: 30 participantes (máximo 2 sillas de ruedas).
Duración: 2 horas aproximadamente.
Formato: presencial en La Casa Encendida.
Dirigido a: Primaria.",[''],Primaria,,,,,No details,['ESCOLARES'],https://www.lacasaencendida.es/escolares/taller-torno-exposiciones-generacion-2023,https://www.lacasaencendida.es/storage/10770/responsive-images/14420-609f-fuentesal_nt___detail_1600_900.jpg
108,Laboratorïum,No definido,6 feb - 28 abr 2023,¡La Casa Encendida lleva la ciencia a tu clase! Taller de experimentos científicos en las aulas con los que el alumnado reflexionará y descubrirá aspectos sorprendentes de la ciencia del Planeta Tierra.,"¿Cómo es la vida en nuestro planeta? ¿Qué características físicas y químicas tiene nuestra atmósfera y cómo condicionan todo nuestro medio ambiente? ¿Qué elementos son fundamentales para la vida?
El tema transversal de este taller será el planeta Tierra, su medio ambiente y algunas características de su funcionamiento, imprescindibles para que en él se dé la vida. Mediante experimentos sorprendentes, divertidos y prácticos, acercaremos a vuestro alumnado el descubrimiento de aspectos curiosos y asombrosos del funcionamiento de nuestro planeta, adaptándonos a cada nivel de conocimientos.
Una actividad para acercar la ciencia al alumnado a través de la experimentación en directo, con espacios para pensar y poner en común hipótesis que respondan a los “porqués” planteados. El método científico y los materiales de laboratorio serán nuestra guía durante todo el taller.
Objetivos:
Desarrollar la capacidad de observación, reflexión y deducción.
Llevar a la práctica el método científico y pensar sobre su aplicación en el día a día.
Facilitar el pensamiento lateral para la resolución de hipótesis.
Introducir el aprendizaje rizomático como un recurso para aprender de forma colectiva.
Fomentar el juicio crítico.
Analizar diferentes procesos físicos y químicos que se producen en nuestro espacio vital.
Contemplar la ciencia como algo cercano, que nace del ser humano y que pretende dar explicación a todos los procesos de nuestro universo.",[''],Secundaria,,,,,No details,['ESCOLARES'],https://www.lacasaencendida.es/escolares/laboratorium-2,https://www.lacasaencendida.es/storage/6129/responsive-images/13878-609f-laboratorium_nt___detail_1600_900.jpg
109,"Rocío Montaño, sueños de cine casero",No definido,5 feb 2023,La cineasta Rocío Montaño hace películas de su familia y amistades y las comparte en su canal de Vimeo.,"En esta sesión se proyecta uno de los primeros trabajos de Rocío Montaño, que presentó como TFG, un documental a modo de video-diario que fue seleccionado en numerosos festivales, y su último trabajo, un video-diario de corte más casero en el que repasa su obsesión por filmar su vida para no olvidarla. En el coloquio se abordará con ella el sueño de hacer cine, la idea de “vivir del cine” y su vinculación con el cine no industrial.
No hablo rumano, de Rocío Montaño. España, 2017. 36'
Una chica emprende un viaje de mes y medio a Rumanía, con intención de documentar la búsqueda de las raíces de un conocido suyo. Pretende hacer una película sobre los posibles orígenes gitanos del chico y acercarse a la cultura romaní. Sin embargo, a medida que transcurre el viaje, la relación entre ambos se complica y el documental toma otro rumbo.
La Colección, de Rocío Montaño. España, 2022. 30'
Videodiario de enero a julio de 2022 en el que Rocío colecciona imágenes y momentos, y reflexiona sobre su obsesión por filmar la vida “Los años pasaron, y yo nunca dejé de filmar, pero sí de grabar obsesivamente”.
El programa se completa con la proyección online de su largometraje Melocotones Tardíos. España, 2020. 100', disponible en https://intimafest.com/rocio-montano",[''],Íntima fest. III Edición,,,2 horas,,No details,"['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/rocio-montano-suenos-cine-casero,https://www.lacasaencendida.es/storage/10733/responsive-images/14362-609f-rocio_montano_nt___detail_1600_900.jpg
110,Marinita Precaria,No definido,5 feb 2023,"Una propuesta íntima, sensible y emotiva, perfecta para escuchar con atención y dejarse seducir por su dulzura.","Lo que destaca por encima de todo en las canciones de Marinita Precaria es la elegancia y el humor. Letras honestas, sinceras, preciosistas, que tocan directamente el corazón. Su voz dulce crea melodías exquisitas, sin excesivos aderezos, pero con una perfección y una sencillez que enamoran, como ha demostrado en su primer Mini-LP, “No Me Miréis”, publicado en el año 2022. Un pop naif que recuerda a grupos como Family, Niza o Vainica Doble.",[''],En Familia. Invierno 2023,,,1 hora,,No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/marinita-precaria,https://www.lacasaencendida.es/storage/10738/responsive-images/14368-609f-marinita_precaria_nt___detail_1600_900.jpg
111,Taller de escritura autobiográfica: vivir para contarla,No definido,4 feb 2023,"El taller de escritura Vivir para contarla plantea un espacio donde explorar nuestros sueños, pesadillas y deseos.","Un club de escritura autobiográfica donde trabajar en nuestros relatos a partir de detonantes cotidianos. Una comida, un olor, una canción… cualquier elemento tiene una historia detrás. Este taller estará enfocado en los sueños, pesadillas y deseos, como parte del programa de la tercera edición de Íntima Fest. La sesión será dinamizada por Dada y PAU, creadoras de Vivir para contarla.
Daniela Calderón, graduada en Publicidad y Relaciones Publicas, siempre ha enfocado su carrera hacia la escritura. Desde artículos de prensa hasta relatos breves pasando por el guion. Durante los últimos años también ha encontrado en la música un nuevo canal de expresión gracias a sus DJ sets en fiestas como Chukiteo (Razzmatazz) o Voodoo Club.
Vivir para contarla nace del afán de encontrar una motivación para escribir sin buscar la perfección. Así, junto a Paula Sagredo se decidieron a crear el taller y compartir su pasión con otras personas.
Paula Sagredo. Estudiante de audiovisuales, siempre ha tenido un interés especial por la escritura como forma de comunicación. Tras realizar un curso de escritura creativa en la 'Escuela de Escritores' en Madrid se inspiró, gracias a su amiga y compañera Daniela, para fundar el club de escritura autobiográfica 'Vivir para Contarla'. A través de este proyecto, se centraron en explorar la escritura experiencial. A su vez, su pasión por la música le ha llevado a formar parte del colectivo madrileño DJ Club y durante el último año ha pinchado tanto en Madrid como en ciudades como Berlín o Seattle, repartiendo ritmos eclécticos de house y disco junto con Ellis Bareuther.",[''],Íntima fest. III Edición,,,1 hora 30 minutos,,No details,"['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/taller-escritura-autobiografica-vivir-contarla,https://www.lacasaencendida.es/storage/10734/responsive-images/14363-609f-vivir_para_contarla_nt___detail_1600_900.jpg
112,Lectura de diarios y sueños: dibujar lo onírico,No definido,4 feb 2023,Un espacio para leer y dibujar sueños.,"El taller de lectura de diarios y sueños: dibujar lo onírico, es un lugar donde revisar la memoria y dejarse llevar por el inconsciente y la creatividad.
En esta actividad se compartirá de manera colectiva los sueños que se apuntan en diarios, en las notas del móvil, o se envían en audio a algún amigue por whatsapp, así como los primeros recuerdos de sueños, o sueños que nunca se olvidan. Si alguien quiere leer en alto, habrá un micrófono abierto así como materiales de dibujo para poder apuntar y pintar mientras se escucha al resto de participantes.",[''],Íntima fest. III Edición,,,1 hora 30 minutos,,No details,"['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/lectura-diarios-suenos-dibujar-lo-onirico,https://www.lacasaencendida.es/storage/10735/responsive-images/14364-609f-lectura_diarios_nt___detail_1600_900.jpg
113,Tronco,No definido,4 feb 2023,"Un dúo de hermanos, Conxita y Fermí Herrero, que se atreven a formar un grupo de música hablando en sus canciones de las cosas que les ocurren en su día a día. Canciones con melodías sencillas y alegres, pero, indudablemente, con mucha profundidad.","Recuerdan a TV personalities, Nosoträsh, Vainica Doble o Aventuras de Kirlian. En sus conciertos todo tiene cabida: la improvisación, las conversaciones con el público, las equivocaciones y las sonrisas, sobre todo las sonrisas. Porque forman un dúo perfecto y se complementan muy bien el uno al otro generando un ambiente divertido, mágico y sencillo donde el disfrute está más que asegurado.",[''],En Familia. Invierno 2023,,,1 hora,,No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/tronco,https://www.lacasaencendida.es/storage/10736/responsive-images/14366-609f-tronco_nt___detail_1600_900.jpg
